atlanta;bert;dont forget the olympics;-----#######---------|-----#--#--####------|-#####-$#$-#--##-----|-#..-#--#--#---#-----|-#..-#-$#$-#--$####--|-#.--#-----#$--#--#--|-#..---$#--#-$----#--|-#..@#--#$-#$--#--#--|-#..-#-$#-----$#--#--|-#..-#--#$$#$--#--##-|-#..-#-$#--#--$#$--#-|-#..-#--#--#---#---#-|-##.-####--#####---#-|--####--####---#####-
fresno;isaac;falling apples;-###############-----|-#..........--.####--|-#..........$$.#--#--|-###########$-#---##-|-#------$--$-----$-#-|-##-####---#--$-#--#-|-#------#---##--#-##-|-#--$#--#-##--###-##-|-#-$-#$###----###-##-|-###--$-#--#--###-##-|-###----$-##-#--#-##-|--#-$--#--$--$-$---#-|--#--$--$#$$$--#---#-|--#--#--$------#####-|--#-@##--#--#--#-----|--##############-----
cleveland;bessie;chasing cars;-####----------------|-#--##############---|-#--#---..#......#---|-#--#-#-#####-...#---|-##$#----........#---|-#---##$######--####-|-#-$-#-----######@-#-|-##$-#-$---######--#-|-#--$-#$$$##-------#-|-#------#----#$#$###-|-#-####-#$$$$$----#--|-#-#----$-----#---#--|-#-#---##--------###-|-#-######$######-$-#-|-#--------#----#---#-|-##########----#####-
sacramento;jacob;visiting the underground;--#######------------|--#--#--#####--------|-##--#--#...###------|-#--$#--#...--#------|-#-$-#$$-...--#------|-#--$#--#...-.#------|-#---#-$########-----|-##$-------$-$-#-----|-##--#--$$-#---#-----|--######--##$$@#-----|-------#------##-----|-------########------
mesa;blanche;not black but freeman was here;--#################--|--#...---#----#---##-|-##.....--$##-#-#$-#-|-#......#--$--#----#-|-#......#--#--#-#--#-|-#########-$--$-$--#-|---#-----#$##$-##$##-|--##---$----#-$----#-|--#--##-###-#--##$-#-|--#-$-$$-----$--$--#-|--#-$----$##$-######-|--#######--@-##------|--------######-------
virginia beach;james;the white shark watchout;----------#####------|------#####---#------|-----##-$--$--####---|-#####-$--$-$-##.#---|-#-------$$--##..#---|-#--######-###..-#---|-##-#--#----#...-#---|-#-$---#----#...-#---|-#@-#$-##-####...#---|-####--$-$$--##..#---|----##--$-$--$...#---|-----#-$$--$-#--.#---|-----#---$-$--####---|-----######---#------|----------#####------
omaha;carl;no not the frech but close;-#####---------------|-#---##--------------|-#-$--#########------|-##-#-#-------######-|-##-#---$#$#@--#---#-|-#--#------$-#---$-#-|-#--###-#########-##-|-#--##-..*.....-#-##-|-##-##-*.*..*.*-#-##-|-#-$##########-##$-#-|-#--$---$--$----$--#-|-#--#---#---#---#--#-|-###################-
colorado springs;jennie;fixing the robot;--------###########--|--------#---#-----#--|-#####--#-----$-$-#--|-#---#####-$##-#-##--|-#-$-##---#-##-$--#--|-#-$--@$$-#-##$$$-#--|-##-###---#-##----#--|-##-#---###-#####$#--|-##-#-----$--#....#--|-#--###-##-$-#....##-|-#-$---$-#---#..$.-#-|-#--##-$-#--##....-#-|-#####---######...##-|-----#####----#####--
oakland;carrie;did we got lost;---####--------------|---#--#########------|--##--##--#---#------|--#--$#-$@$---####---|--#$--$--#-$-$#--##--|-##--$##-#$-$-----#--|-#--#--#-#---$$$--#--|-#-$----$--$##-####--|-#-$-$-#$#--#--#-----|-##--###--###$-#-----|--#--#....-----#-----|--####......####-----|----#....####--------|----#...##-----------|----#...#------------|----#####------------
miami;jessie;back on the track;-------####----------|---#####--#----------|--##-----$#----------|-##-$--##-###--------|-#@$-$-#-$--#--------|-####-##---$#--------|--#....#$-$-#--------|--#....#---$#--------|--#....--$$-##-------|--#...-#-$---#-------|--######$-$--#-------|-------#---###-------|-------#$-###--------|-------#--#----------|-------####----------
tulsa;catherine;armed and dangerous;--###########--------|--#-----##--#--------|--#---$---$-#--------|-####-##-$$-#--------|-#---$-#----#--------|-#-$$$-#-####--------|-#---#-#-$-##--------|-#--#--#--$-#--------|-#-$#-$#----#--------|-#---..#-####--------|-####..-$-#@#--------|-#.....#-$#-#--------|-##....#--$-#--------|--##..##----#--------|---##########--------
minneapolis;kathryn;lakes everywhere;--#########----------|--#....---##---------|--#.#.#--$-##--------|-##....#-#-@##-------|-#-....#--#--##------|-#-----#$-##$-#------|-##-###--$----#------|--#$--$-$-$#--#------|--#-#--$-$-##-#------|--#--###--##--#------|--#----##-##-##------|--#--$-#--$--#-------|--###$-$---###-------|----#--#####---------|----####-------------
honolulu;clarence;up the aloha tower;-############-######-|-#---#----#-###....#-|-#---$$#---@--.....#-|-#---#-###---#-....#-|-##-##-###--#--....#-|--#-$-$-----#-#-####-|--#--$-$##--#------#-|-####-#--####-#-##-#-|-#--#-#$---##-#----#-|-#-$--$--#-##-#---##-|-#-#-$-$----#-#---#--|-#--$-##-##-#-#####--|-#-$$-----$$--#------|-##-##-###-$--#------|--#----#-#----#------|--######-######------
arlington;lawrence;listen to the radio;-------------#####---|-#####--######---#---|-#---####--$-$-$-#---|-#-$---##-##-##--##--|-#---$-$-----$--$-#--|-###-$--##-##-----##-|---#-#####-#####$$-#-|--##$#####-@##-----#-|--#-$--###$###-$--##-|--#-$--#---###--###--|--#-$$-$-#---$$-#----|--#-----#---##--#----|--#######..-.###-----|-----#.........#-----|-----#.........#-----|-----###########-----
wichita;claude;bad news comming;-###########---------|-#......---#########-|-#......---#--##---#-|-#..###-$----$-----#-|-#...-$-$-#---##---#-|-#...#$#####----#--#-|-###----#---#$--#$-#-|---#--$$-$-$--$##--#-|---#--$---#$#$-##$-#-|---###-##-#----##--#-|----#--$-$-##-######-|----#----$--$--#-----|----##---#-#---#-----|-----#####@#####-----|---------###---------
saint louis;leonard;blues is everywhere;-------####----------|-#######-@#----------|-#-----$--#----------|-#---$##-$#----------|-##$#...#-#----------|--#-$...--#----------|--#-#.-.#-##---------|--#---#-#$-#---------|--#$--$----#---------|--#--#######---------|--####---------------
raleigh;clyde;red hat headquarters;--------------######-|--#############....#-|-##---##-----##....#-|-#--$$##--$-@##....#-|-#------$$-$#--....#-|-#--$-##-$$-#-#-...#-|-#--$-##-$--#--....#-|-##-#####-###-##.###-|-##---$--$-##---.--#-|-#-$###--#-#####-###-|-#---$---#-------#---|-#--$-#$-$-$###--#---|-#-$$$#-$---#-####---|-#----#--$$-#--------|-######---###--------|------#####----------
cincinnati;leroy;hello the rain man;-----############----|-----#----------##---|-----#--#-#$$-$--#---|-----#$-#$#--##-@#---|----##-##-#-$-#-##---|----#---$-#$--#-#----|----#---#-$---#-#----|----##-$-$---##-#----|----#--#--##--$-#----|----#----##-$$#-#----|-######$$---#---#----|-#....#--########----|-#.#...-##-----------|-#....---#-----------|-#....---#-----------|-#########-----------
anaheim;cora;learning the mighty ducks;------------#####----|-----------##---##---|----------##-----#---|---------##--$$--#---|--------##-$$--$-#---|--------#-$----$-#---|-####---#---$$-#####-|-#--########-##----#-|-#.------------$$$@#-|-#.#-#######-##---##-|-#.#-#######.-#$-$##-|-#...........-#----#-|-##############--$-#-|--------------##--##-|---------------####--
tampa;lewis;across the bay;------########-------|---####------######--|---#----##-$-$---@#--|---#-##-##$#$-$-$##--|-###-......#--$$-##--|-#---......#--#---#--|-#-#-......#$--$--#--|-#-#$......-$$#-$-#--|-#---###-###$--$-##--|-###--$--$--$--$-#---|---#--$--$--$--$-#---|---######---######---|--------#####--------
toledo;daisy;where are we;---------#######-----|-----#####--#--####--|-----#---#---$----#--|--####-#$$-##-##--#--|-##------#-#--##-###-|-#--###-$#$--$--$--#-|-#...----#-##--#---#-|-#...#----@-#-###-##-|-#...#--###--$--$--#-|-########-##---#---#-|-----------#########-
pittsburg;lillian;still so lost;--#####--------------|--#---#--------------|--#-#-#######--------|--#------$@######----|--#-$-##$-###---#----|--#-####-$----$-#----|--#-#####-#--#$-####-|-##--####-##$------#-|-#--$#--$--#-##-##-#-|-#---------#-#...#-#-|-######--###--...--#-|------####-#-#...#-#-|-----------#-###-#-#-|-----------#-------#-|-----------#########-
aurora;della;batteries are low;-#####-####----------|-#...#-#--####-------|-#...###--$--#-------|-#....##-$--$###-----|-##....##---$--#-----|-###...-##-$-$-#-----|-#-##----#--$--#-----|-#--##-#-###-####----|-#-$-#-#$--$----#----|-#--$-@-$----$--#----|-#---#-$-$$-$-###----|-#--######--###------|-#-##----####--------|-###-----------------
bakersfield;lillie;a look to the valley;-##########----------|-#--------####-------|-#-######-#--##------|-#-#-$-$-$--$-#------|-#-------#$---#------|-###$--$$#--###------|---#--##-#-$##-------|---##$#---$-@#-------|----#--$-$-###-------|----#-#---$--#-------|----#-##---#-#-------|---##--#####-#-------|---#---------#-------|---#.......###-------|---#.......#---------|---#########---------
riverside;earl;starring at the sun;----------####-------|--#########--##------|-##--$------$-#####--|-#---##-##---##...#--|-#-#$$-$-$$#$##...#--|-#-#---@---#---...#--|-#--$#-###$$---...#--|-#-$--$$--$-##....#--|-###$-------#######--|---#--#######--------|---####--------------
stockton;lizzie;the backpack lost;---#########---------|---#*.*#*.*#---------|---#.*.*.*.#---------|---#*.*.*.*#---------|---#.*.*.*.#---------|---#*.*.*.*#---------|---###---###---------|-----#---#-----------|-######-######-------|-#-----------#-------|-#-$-$-$-$-$-#-------|-##-$-$-$-$-##-------|--#$-$-$-$-$#--------|--#---$@$---#--------|--#--#####--#--------|--####---####--------
lexington;eddie;home of kfc;--------####---------|--------#--##--------|--------#---##-------|--------#-$$-##------|------###$--$-##-----|---####----$---#-----|-###--#-#####--#-----|-#----#-#....$-#-----|-#-#---$-....#-#-----|-#--$-#-#.*..#-#-----|-###--####-###-#-----|---####-@$--##$##----|------###-$-----#----|--------#--##---#----|--------#########----
buffalo;lottie;bulls are back;-------############--|------##..----#---#--|-----##..*-$----$-#--|----##..*.#-#-#-$##--|----#..*.#-#-#-$--#--|-####...#--#----#-#--|-#--##-#----------#--|-#-@$-$-###--#---##--|-#-$---$---#-#---#---|-###$$---#-#-#-#-#---|---#---$---#-#-#####-|---#-$#-#####------#-|---#$---#---#----#-#-|---#--###---##-----#-|---#--#------#----##-|---####------######--
saint paul;edgar;got a new engine;--#########----------|--#-------#----------|--#-$-$$-$#----------|-###-#--$-#----------|-#.#---$$-##---------|-#.###---$-#---------|-#.#.-$-##-####------|-#...--$##-$--#------|-#...$---$----#------|-#..###$###-#@#------|-#..#-#-----###------|-####-#######--------
anchorage;louise;near the polar circle;------------########-|------------#......#-|----####----#......#-|----#--#########...#-|----#-$---$----#...#-|----#--#-#-#-#-#---#-|-#####-#-#-#@#-#---#-|-#---#-###-###-##-##-|-#----$-#-$-$-$-#-#--|-#-$$$--$---#-----#--|-#---#-###$###$##-#--|-###-#--$---#-----#--|--##-$--#-$-$-$-###--|--#--#-###-###-##----|--#-$----------#-----|--#--###########-----|--####---------------
newark;edith;how the devils play;-##################--|-#----------------##-|-#-$#---$-##--$----#-|-#----$###----#-$$-#-|-#.###-----$-$-##--##|-#...#--#--#----#$--#|-#..##$$####-$--#---#|-#...#------$-##--###|-#...$--###--#----#-#|-##..--$#--##---##@-#|--##.#--------------#|---##################
plano;lulu;on the rapid trasit;-####################|-#---#----#---#---#@#|-#-$------$---$---#-#|-##-###..##-###-----#|-#---#....#$#--$###-#|-#-$-#....#--$--$-$-#|-#---#....#-#-#-$-$-#|-#---##..##---#$#---#|-##$##----##--#--#$##|-#---$--$-----#--#--#|-#---#----#---#-----#|-####################
fort wayne;edna;hail to the mad wayne;-####################|-#----@##------#---##|-#----##----$----$-##|-#--###....#-#-#--###|-#---#....#-#-#-$---#|-###-#...#--#-------#|-##--##.#-----$---$-#|-##--$-$-###--#-#-###|-##-$-------#-#-$---#|-####-$--$#-#-#-#-$-#|-####---------#-#--##|-####################
saint petersburg;mabel;along the seaguls;-####################|-#--#--##----#---@###|-##----$----#-$###--#|-##$#-$-##$#-$-$----#|-#---$#----$------###|-#-##---$-###--#....#|-#-#-$#-#-#-#-#....##|-#----$-$-#--#....###|-##$-###--$-#....####|-#--#-$--------######|-#------#-#----######|-####################
glendale;edwin;mario lopez town;-####################|-#@-----###---#--#--#|-#-#-#--#--$--$-----#|-#####-----#-$-$#$#-#|-#.#..#----##$-$----#|-#.....----$---#---##|-#.....----###$##$###|-#.#..#----$----#---#|-#####-----#--#$--$-#|-#####--#--$----$-$-#|-#####--#--#--#--#--#|-####################
lincoln;mamie;next to the great leader;-####################|-##...---##-#----#--#|-#....---------$-##-#|-#....#-#-#$###$----#|-#...#----#-------#-#|-##.#--#$-#-----$##-#|-#--#--#-$-$-###--$-#|-#-----$--$-#--#-##-#|-##-#-##-#$$#-$#--#-#|-#--#---$-$-#------##|-#----#-----#--#---@#|-####################
norfolk;effie;watch out for navy criminals;-####################|-#---#--#@#-##--#####|-#-#-#--$----$--#####|-#-#----######-$--###|-#---#--#....#--$$--#|-##$##$##....#------#|-#------#....##$##$##|-#--$$--#....#------#|-#-$--$--#--#--###--#|-#####--$---$----$--#|-#####-#----#--#---##|-####################
jersey city;margaret;repairs on the go;-####################|-#-#-----#----------#|-#-------$--##-###-##|-#####--##---$--$---#|-##..##--#-#-$-#-#--#|-#....--$-----##$#-##|-#....--$#####---#$##|-##..#-#--#---#--$--#|-###.#-#--$---$--#-@#|-##--$--$-#---#--####|-##-------###########|-####################
greensboro;ellen;the green smokes;-####################|-#-----###..###-----#|-#-$$--###..###--$@-#|-#--#-##......#--$--#|-#-----#......#--$--#|-####--###..######$-#|-#---$$$-#..#----#--#|-#-$#---$--$--$$-#$-#|-#--#--##-$--##--#--#|-#-$----$-##-$----$-#|-#--#--##----##--#--#|-####################
chandler;marion;on the run for birmingham;-####################|-#----#--#-#--#--#--#|-#-@#-#-##-$---$---##|-####-#----#--#-$---#|-#----#-##-#$-##-##-#|-#------$---$---$---#|-#..###$$##-$##$-##-#|-#..#.#--#-$---$-#--#|-#....#-$$---##$-####|-#....#--#####------#|-#...###--------##--#|-####################
birmingham;elmer;show me your style;-####################|-#....#-------#--#--#|-#....#-#-$--$------#|-#....-##--$#-#-$#$-#|-#...#---$---$#--$--#|-#..####--#-$---$$--#|-#------####-####-###|-#--------#---#-----#|-#-##---#---$-#-$-$-#|-#-##----$-##-$--$--#|-#-----@#-----#---#-#|-####################
henderson;mattie;full of upgrades;-####################|-#....###-----------#|-#....#####-#--#$#-##|-#....###---#$--$---#|-#....###----$--#$$##|-##--####-$#--#$-$--#|-##--####--$--$--#--#|-#@--####$###$##-$--#|-##--------#--#--$--#|-##---###--#--$--####|-########--#--#-----#|-####################
scottsdale;elsie;ready to go;-####################|-#-----#-----@#...###|-#-----#------##...##|-#-#-#-##$##-##-....#|-#---$-#---$$$--....#|-###$###-$$--###-##.#|-#-----$--#----#-####|-#--$--#--###--#-#--#|-##-#$##----$--$$---#|-#---$-##---#--#-#--#|-#-----#----#--#----#|-####################
north hempstead;maude;trip to long island;-####################|-#-----#--#...#@----#|-#-#-------....#----#|-#--$--#---#....#---#|-#-##$####-##....#--#|-#-$---$--#--#...#--#|-#-$$-#---#---#-$$--#|-###--$$$#---$$--$--#|-#-$--#--#----#-$#--#|-#---$#--#-------$--#|-#--#----#----#--#--#|-####################
madison;ethel;came to the wisconsin glaciation;-####################|-#####@###.##...##--#|-#####$--..#...#----#|-####----......#--$-#|-###--$-#.....##-#-##|-##--$$#-#####--$-$-#|-##-$#-$----##--$$--#|-##--#--#----#-$--$-#|-##---$$-###-#$##---#|-##-$#------$-$--$-##|-###----#----#----###|-####################
hialeah;minnie;cuban revolution;-####################|-#@-----#---#-------#|-##-###-##--####-#-##|-#----#-#--$$-------#|-#--#-#-#-$-#-$-##-##|-#-----$-#--#$$-#---#|-#--###--#------##-##|-#..#.#-$-#--$-#----#|-#..#.#--$-#-##-$$--#|-#....##---$$--$--#-#|-#.....##--------#--#|-####################
baton rouge;etta;following the sieur d iberville;-####################|-#--#------#---#---##|-#-$#-$-$-##...$--$-#|-#--$--#-##....#-$--#|-#-##-$-##....#---$-#|-#-$----#....##-$---#|-#-$##--#...#-------#|-#---$$$##$##--###-##|-#-#-#--#---#--#----#|-#-$-#--$--##-------#|-#----#----#@-------#|-####################
chesapeake;nanny;on the chesapeake expressway;-####################|-#--#--#-#----#--#--#|-#---$------$-$-----#|-##-#--#$###$##--##-#|-#---$-----$--#--$--#|-#-###$##$#---#-$---#|-#-#---$-$--######-$#|-#-$--$$-$--#@#.#...#|-#-#-----#--#-#.#...#|-#-##########-#.....#|-#------------#.....#|-####################
orlando;fanny;in the world of skyscrapers;-####################|-#--#-----#--##----##|-#-$#---$-#-----##--#|-#-$--$--#..#-----$-#|-#-$-$--#....#---#-##|-#-$#--#......###-$-#|-#---#--#....#--#$--#|-#-$--####..#---#---#|-##-$---##-#-#-$--$##|-###-$----$#@$-$#---#|-####---#-------#---#|-####################
lubbock;nettie;have you seen an ufo;-####################|-#------....#----####|-#------....--------#|-#-#-##########-----#|-#-#$---#------###..#|-#--$---#$$###---#..#|-#-$-###-$---$---#..#|-#-$-#---$-$-#--##..#|-#--#--$$-#-$-##---##|-#@##-$#--$--$-----##|-##-------##---#--###|-####################
garland;florence;great time in the plaza theater;-####################|-#--------#---#@-#--#|-#-$$--#$$#-#-#--##-#|-#--#-$-$-#$$-#-----#|-##-#--#--#-#-#--#--#|-#---##-------#-----#|-#---#-$-#---#---#--#|-#-$-#$-#---#--$-#..#|-##$-#--####----#...#|-#--$----------#....#|-#---#--#-----#.....#|-####################
akron;olive;near the cuyahoga falls;-####################|-#-----#---#####----#|-##-$--#---####--$--#|-####-$$---#..#--#--#|-#--$--$--##..####-##|-#-$---###....---$$-#|-#--#$#---....#-#-$-#|-#-#--#-$-..###$#---#|-#-#---$-#..#---##--#|-#---$#--####---#-$##|-#-#--#----@#------##|-####################
rochester;floyd;stopped for a white hot;-####################|-#---#---#----#---#@#|-#---$--$-----#-$-#-#|-##$#-$###-#----$$#-#|-#--#--#.###--#$-$--#|-#--#$#....#--#-###-#|-#-$--#.....##----#-#|-##$--#.#....#$$-$--#|-#--######..##-#--#-#|-#--$---------$-###-#|-#---#---#--------#-#|-####################
chula vista;pearl;recharging the batteries;-####################|-#-#-#-#---#@##---#-#|-#-------------$----#|-#--##$#-#####-$-#-##|-##----##.....#--#--#|-##$##$#.....###$#$-#|-#---#-##.....#--#-##|-#--$----##..##--#--#|-#-$-#---$---$--$$$-#|-##-$--$#-#--#--$---#|-#---##---#--#------#|-####################
reno;frances;can you play poker;-####################|-#----##---#----#---#|-#--$--$-----##-$---#|-##-#####--.######-##|--#-##--##....####-##|-##-##$-###..##-----#|-#------#...-.#-$-$-#|-#-$-##-##-.-###-####|-#-#-$----#.##-#-#---|-#-$-$-#---.####-##--|-#-#--##-#-##--#--##-|-#######--$##$---$-#-|-------##------$-#@#-|--------#--##-######-|--------#######------
laredo;raymond;before the border to mexico;--------###########--|--------#---------#--|--------#----$-$--#--|-######-#-$-#####-#--|-#----#####-$--##$#--|-#-------$-$------#--|-#----------##-##-#--|-#----##@#####-##-#--|-#----####---#-##-##-|-#....#------#-$---#-|-#....#------#-----#-|-######------#######-
durham;frank;remembrance day;-#############-------|-#-----------#-------|-#-###-$$----#-------|-#---#-$--$--#-------|-#--$####$######-----|-#-$-##--------#####-|-#--$$-$--------...#-|-###-##-$$#-----...#-|---#-##---#-----...#-|---#------#-----...#-|---###@#############-|-----###-------------
modesto;rosa;grow some grass;---#################-|-###@##---------...#-|-#----#---------...#-|-#-$--#---------...#-|-#-$$-#---------...#-|-##-$-###$##########-|--#-###--$-#---------|-##---$--$-#---------|-#--$-#--$-#---------|-#-$--#----#---------|-#--$-#----#---------|-#----#----#---------|-###########---------
huntington;frederick;have you been tested;---------------#####-|------##########---#-|------#--------#---#-|------#--$-$----$$-#-|------#-#####-##-$-#-|------#$$---#$##-$-#-|------#-###-#-##$--#-|-######-###-$-$----#-|-#....--------##---#-|-#....--------######-|-#....--------#------|-###########@##------|-----------###-------
montgomery;ruth;rafting on the alabama river;-----######----------|--####----#----------|--#----##-#----------|--#-$-----#----------|-###-####-########---|-#--$---$-##--...#---|-#---$$-$$----...#---|-#----$--$##--...#---|-##@##-##-##--...#---|--###--$--########---|--#---$$--#----------|--#----#--#----------|--#########----------
boise;george;to be or not to be;-#######-#########---|-#-----#-#---##--#---|-#-###-#-#---$---#---|-#-#-$-###---$---#---|-#---$$------##$-#---|-#----####---##--#---|-#@############-##---|-###..----#####$-#---|---#..----####---#---|---#..-------$$--#---|---#..----####-$-#---|---#..----#--#---#---|---########--#####---
